Country,Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Fiji,FJI,112334368,116993978,122912941,129461582,140040154,147084750,150603926,162625886,166952937,182182068,219878482,247749328,316650509,425963354,558589871,684268315,694552425,719533150,829239490,1019743927,1202567355,1235899836,1194015410,1123107241,1177997414,1141210125,1290228617,1177908192,1109976928,1182686577,1337024782,1383843860,1531803061,1635426125,1825285158,1970347721,2129266728,2093994597,1656784780,1942170999,1684109743,1660102346,1842691481,2315935753,2727507213,3006725015,3103099942,3379863774,3589854454,2878524079,3173302693,3818121194
Finland,FIN,5224102196,5921659485,6340580854,6885920329,7766655086,8589340019,9208524505,9368954010,8823033880,10070766721,11222537751,12378521928,14567968587,19240941960,24553503032,29122353321,31470995538,33101667404,35825270758,43936803541,53007650622,51791127032,52177130875,50285012810,52118124258,54979854183,72319962468,90045989449,107182658138,116795067202,138883532888,125300691075,110171223786,87346726345,100630620376,130806100218,128308309604,122987057611,129763017356,130322821223,121793808734,124642505593,135183512140,164256207675,189064585623,195777993334,207949409201,246127357186,271974219065,239382754295,235257894737,263011111111
France,FRA,62651474947,68346741504,76313782252,85551113767,94906593388,102160571409,110597467199,119466139620,129847107788,140725497222,146441124365,163695749970,200955006502,261476281674,282165984724,355600887257,367269735045,405391414817,500065261628,605024051804,690324433406,605221484611,574594470506,550344091574,521686181791,543485326325,758520030306,917896322165,1001159453805,1007009356364,1244163956150,1245406348099,1372967781908,1297003822099,1368008034026,1572061768958,1572776381587,1421492020679,1468872804092,1456431067547,1326334899576,1338302818792,1452030303030,1792214221219,2055678853687,2136555489230,2255705477450,2582389733356,2831794045483,2619685000757,2549027263158,2773032125000
French Polynesia,PYF,,,,,,176534590,215659455,220984369,259590076,242943777,254035999,296613497,325843255,431254103,555337986,690319755,732286143,793193187,1005573294,1215031775,1362151524,1279972866,1286462643,1335895286,1378991403,1507230779,2301514717,2543199148,2687472830,2636461517,3181206305,3267367610,3558215110,3694600400,3522272321,3982374846,3954696874,3567062512,3775160797,3797016069,3447543138,,,,,,,,,,,
Gabon,GAB,141468978,167637908,182796537,154480244,215679855,226474286,245849782,271543680,294468565,318124701,323802475,381687073,430508358,722780701,1544216004,2157592937,3009409971,2809349074,2389479269,3030251116,4279637934,3862269127,3618007844,3391275731,3561451562,3339914759,3403638194,3281797039,3834503378,4186411457,5952293766,5402919788,5592390833,4378645081,4190819347,4958845649,5694040000,5326817111,4483417313,4662991794,5067865503,4712849280,4931503836,6054883172,7178135606,8665736618,9545982814,11570860872,14534823245,10946387019,13199637410,17051616749
"Gambia, The",GMB,,,,,,,44212088,46695009,41160066,45168072,52296084,55728656,59160576,75187768,95796034,115179738,112190821,138093125,171833062,207112675,241083134,218767700,216050530,213448602,177340913,225726358,185646984,220626481,266672205,284120333,317083689,690311097,714254263,755040939,746493959,785999882,848239401,803633366,840285269,814724060,782913866,687410629,578235310,487038678,578785601,624173996,655068112,798869805,965771303,900629373,951805801,898282866
Georgia,GEO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7737994864,6337314652,3691110628,2701180604,2513870709,2693731880,3094915506,3510540844,3613500142,2800024342,3057453461,3219487823,3395778661,3991374540,5125273877,6411147323,7761900179,10172260738,12799337250,10766836277,11638236643,14366527680
Germany,DEU,,,,,,,,,,,208869771038,241913902391,290121986827,385511902238,430926173895,474795560457,502973378650,581110225900,716562767146,852889587366,919609249883,774627579736,751503470607,745801590617,701699792253,708883867564,1012479276703,1256262486740,1355992248618,1353799613925,1714470068623,1808603417796,2064370695053,2007452975275,2148005303122,2522860652382,2436963867949,2157229866907,2178170501278,2131046239079,1886401326700,1880894854586,2006587615283,2423814898420,2726341472500,2766253792966,2902748698160,3323807412152,3623686234299,3298635952562,3284473684211,3600833333333
Ghana,GHA,1217790385,1302394180,1382515654,1541077734,1731576345,2054023258,2126860962,1747536190,1667105562,1961756427,2215322843,2417591968,2112593380,2465633787,2894472084,2810106288,2765339025,3189542912,3662495575,4020227804,4445228031,4222441904,4035994542,4057275047,4412279889,4504342092,5727602711,5074830092,5197840964,5251764396,5889175898,6603131296,6416079583,5968905679,5446370115,6464389656,6932984635,6891433841,7482072380,7718110781,4982849054,5314871684,6166197192,7632720680,8881419348,10731883141,20410257646,24757642258,28528046011,25978537279,32174839713,39199656051
Greece,GRC,4446528165,5016048786,5327573509,5949478035,6680298251,7600579093,8455611129,9136711288,9915140546,11266091571,12529700163,13914172675,16101411778,21310100430,24174092499,27201244886,29706226950,34496353620,42214471899,51951955861,54190721018,49915745055,52081750119,47133593426,45790167010,45600241863,53761550993,62604100107,72720009814,75492750065,93345420404,100260801400,110827664282,103756401538,111187280894,130522282543,138028597015,134653112718,135274145129,133187471440,124418164455,129841697351,146050256230,192850219244,227950420086,240075690332,261713232776,305431771155,341593975533,321016154721,292304602599,289627362871
Greenland,GRL,,,,,,,,,,,69520029,88570999,106101302,140153754,169918944,211192464,240779416,282269773,355987428,420645795,476051769,435749014,402403057,416184086,379371914,412876396,603016318,787390447,898607671,929799902,1018977225,1016500016,1037916105,927214128,1005887592,1208953359,1197515638,1072154407,1149858127,1131555107,1068024994,1086170639,1169136691,1426452030,1644951892,1702543477,1738432116,2121759848,1739579594,1267711816,,
Grenada,GRD,,,,,,,,,,,,,,,,,,53322221,67548147,78314813,83614813,87888887,95229628,101211115,110100004,128211103,144011114,167229627,184533330,213066663,221070361,241570366,250914816,250259243,261777773,276296291,294651847,304940747,340814809,379629398,523256355,523279846,544381962,596339089,600014341,700431791,704762536,763824455,832339701,775507461,783602099,816054407
Guam,GUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,1043599936,1076699904,1143600000,1262800000,1299099904,1331399936,1390700032,1453500032,1610499968,1715399936,1904000000,1984800000,2101299968,2569200128,3161499904,3645900032,4365300224,5480500224,6070600192,6902600192,7878700032,8607500288,8716999680,9050000384,9470000128,9721652292,7231963340,7084399821,7841603176,8410724409,7650125576,9406097461,10440842292,11399942820,12983235119,14656917900,15781579950,17788657194,19393672244,18317089473,19290566570,18702816768,20776640958,21917582105,23965280312,27211230374,30231130543,34113106486,39136286496,37733791089,41340507361,46900000257
Guinea,GIN,,,,,,,,,,,,,,,,,,,,,,,,,,,1922600899,2041538057,2384295764,2432029380,2666616177,3014890569,3284625277,3279063318,3383218923,3693753379,3869032271,3783788551,3588375984,3461282190,2995360969,2833442750,2949637039,3446442219,3666349049,2937072009,2821346684,4209332040,3778259934,4164652171,4735956476,5089487834
Guinea-Bissau,GNB,,,,,,,,,,,78733539,78540000,87702857,89374185,98775304,108985752,112386559,114971282,122666792,118537825,110653831,154731920,165523639,163577519,138478895,143856252,130225023,173836364,164458118,213143017,243961995,257150573,226313493,236880814,235619995,253966920,270419779,268551011,206457553,224446652,215456618,199034556,203614227,475221698,522651788,572853554,578517349,690721769,842890956,832530157,835390893,967762549
Guyana,GUY,170216239,185849533,194949510,175757892,194774510,213235288,228705876,250176464,229750000,249300000,267800000,282049984,285380950,307047633,433954551,494791660,454439987,449880013,507079987,530439987,603200000,570357130,482000000,489333333,437631601,453488352,504651111,354591836,413799987,379779378,396582264,336708410,368281383,442273444,540874922,621626786,705406032,749138004,717530697,694754984,712667925,696281469,722460912,741929343,785918770,824880550,1458449058,1740335069,1922597807,2025565089,2259288026,2576731667
Haiti,HTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3476346281,2111405826,1806285587,2124933516,2695499730,2970865203,3242667331,3757500381,4088703120,3664503846,3507981946,3214632479,2826481072,3660483886,4154289832,4879738636,5971284338,6407707284,6470254240,6634579143,7346156703
Honduras,HND,335649984,356200000,387750016,410200000,457000000,508650000,549950016,598099984,646800016,668000032,723000000,731000000,802999968,912499968,1034500000,1124000000,1347999936,1669499968,1929499968,2251499968,2566000032,2819500000,2903500032,3076999968,3319000000,3639499936,3808500032,4152499968,3970386396,3563448320,3048896181,3068462060,3419474979,3481990761,3432356579,3911053180,4034037162,4663193916,5202215657,5372543554,7105541205,7566501476,7776438041,8233948657,8871111447,9714443494,10877302306,12315697003,13835990547,14123452608,15343558028,17426574426
"Hong Kong SAR, China",HKG,1320799747,1530754831,1724850878,1975045353,2274710597,2435078534,2489845017,2692474989,2716964388,3189740055,3800766536,4476001946,5710107420,8030117556,9388663646,10048022370,12876366009,15719433719,18315007366,22526035941,28861759209,31055409443,32291306282,29907091340,33511383986,35699543051,41075570592,50622571586,59707404561,68790369107,76928290842,88959620136,104272278635,120353947981,135812069769,144652912433,159717233622,177352785420,168886163222,165768095392,171668164083,169403241524,166349228737,161384522525,169099768875,181570082162,193536265094,211597405594,219279678430,214046415026,228816351748,248611896197
Hungary,HUN,,,,,,,,,4684666743,5205833591,5542466667,6032045246,7074918567,8761333583,9603165775,10949295027,12689645219,14173861741,16573684442,19136396852,22163405825,22728019816,23145848310,21006550142,20366467191,20623320309,23756068292,26108718022,28570620031,29167601580,33056134799,34106585135,38009547806,39377951796,42363086241,45561413231,45930691794,46533207226,47951604854,48255011860,46385589534,52720966883,66389489264,83538373061,101925734602,110321711573,112533152716,136102020867,154233541852,126631684033,128631634125,140029344474
Iceland,ISL,248434097,253885656,284916516,340061650,434267937,523694949,628893310,621225962,474399472,414709311,518902001,660321785,827213290,1137337705,1492743386,1386032934,1644755718,2175791292,2474614617,2811162827,3331325043,3441249878,3159121963,2724974072,2822006038,2939845038,3930518365,5438537481,6016168895,5588533007,6372905074,6807365897,6976080330,6126456175,6294803496,7018100153,7330965238,7422994706,8291725774,8742600398,8697298234,7922983043,8907207933,10969898924,13251434311,16286323127,16651492784,20428232684,16832079677,12113097224,12569632120,14026172280
India,IND,37678483240,27156743187,27238617184,31283203964,36489348295,60599264103,46669801596,51014155355,54016411984,59472993623,63031419851,68243246845,73243218790,87802183383,101715092483,99863881090,104062131443,123282365569,139359984733,155269010188,189594121352,196883474523,204234366471,222090283354,215878233657,236589100975,253352444883,283926977522,301790951197,301233728787,326608014285,274842348148,293262352364,284193716760,333014463393,366599645601,399786888518,423160419443,428741030146,464344395604,474691627716,492378579610,522798457725,617572578402,721585293250,834215013549,949116769688,1238700195714,1224095056557,1365372336305,1710908808234,1872840247709
Indonesia,IDN,,,,,,,,5980840377,7467363479,8798957442,9656740014,9849117953,11605084560,17171181163,27227710999,32147953008,39328674730,48396143465,54298158340,55122620334,78013206038,92473878832,94715163814,85369201879,87612439197,87338874330,80060657612,75929617715,88787623310,101455197786,114426498045,128167999847,139116270052,158006849879,176892148243,202132032844,227369671349,215748854647,95445548017,140001352527,165021012262,160446947638,195660611034,234772458818,256836883305,285868610017,364570525997,432216737775,510244548960,539579959053,708026840495,846832282925
"Iran, Islamic Rep.",IRN,,,,,,6154739685,6706096865,7425389720,8447898398,9482344576,10588052396,13203457893,16346614632,25789290845,44331002246,48942018417,63626810883,74816947679,73033383216,86168280190,90041228622,97085719579,121526715239,147222717993,153067404656,170673002206,198775373326,127851925592,116305831423,114003085004,116035029649,,,60088309491,67128216023,90829495171,110573439131,105298720965,102661888397,104656040168,101286514977,115438386682,116420833374,135409681532,163226579221,192014940324,222880533511,286057933326,338187289005,331014973186,,
Iraq,IRQ,1683918720,1831479819,1954399496,1978199396,2340239147,2558946823,2772051942,2795295537,3173340354,3304396436,3591431141,4144554445,5356083106,6482501969,12996173027,16094547110,19383067724,23326476721,27701970016,39564501728,47562146134,32579844010,36776549881,37495016505,42530668954,44204431808,39991570165,43702264740,43410815201,48422432260,,,,,,,,10113863358,10468730247,17942362576,25857106736,18936094868,18969591211,,25755086059,31316963995,45080072237,56989916308,86530068729,64231331197,81112411282,115388468974
Ireland,IRL,1939329775,2088012282,2260349684,2430843768,2766608946,2945704143,3104034393,3343636773,3278584478,3787077344,4262261271,4943152202,6125854871,7253582866,7656623865,9195294389,9166156920,10906146155,14202378715,17762028873,21086249121,20041367187,20821454739,20134309232,19494970026,20622942884,27841024983,32888598328,36623780684,38044693437,47805670365,48272881161,54217399946,50822847748,55360647552,67036471511,73984024689,81150642625,88116381513,96421133557,97525278177,105701957709,123599013427,159121191845,186946843185,203279988923,223670896914,259954883975,263653739459,223098503172,205252961136,217274951267
Isle of Man,IMN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,914727081,1023086919,1180919719,1382548250,1567465657,1563667800,1614595291,1897606791,2264911807,2758117365,2915710378,3437450712,4075664785,,,,
Israel,ISR,2887081901,3486954461,2596553912,2992170981,3405458502,3663345598,3980013325,3921085398,3959154192,4568013078,5372301095,5573108413,7173788441,9242160982,12567588804,12336986760,12475947718,13776267566,13618844019,17511335263,21780968646,23196333205,24572712049,27435501837,26042767127,24122660959,29701444276,35476344266,43892480102,44599772802,52490325648,59170288070,65771216221,65925582473,74669718187,95984455767,105100103996,108472199695,109819478435,110794986859,124895151203,122940533086,112974376293,118673283415,126571173583,133959001783,145479599623,167111803510,201661649944,194866363197,217443434073,242928731135
Italy,ITA,40385288344,44842760293,50383891899,57710743060,63175417019,67978153851,73654870011,81133120065,87942231678,97085082807,109254765502,120120043349,139955971404,169084087914,192277533278,219381696527,216511885599,248190364575,303554190324,379302315992,459830080798,414976039559,411671084979,426864993168,421898527725,435705088168,617003094712,776293080273,859052483314,894751916820,1138091138037,1200715302564,1271956871335,1026071880522,1059079564102,1131770110939,1266354134494,1198654411766,1224579873011,1208180354708,1104009462562,1123702691037,1225176959595,1514503536381,1735521503772,1786275014007,1872982702430,2127180496503,2307311495086,2111148008712,2043530529926,2193971063086
Jamaica,JAM,699064357,748043414,777727657,826706669,897948942,972159571,1096759516,1148014336,1083839096,1191239556,1404720459,1539862371,1875146657,1905861157,2375122421,2860442775,2966042882,3249733207,2644527877,2425064186,2679379401,2979027961,3293496303,3619262288,2373564501,2100239027,2754549678,3287007232,3828342820,4404938028,4592208212,4106205952,3535452386,4891215397,4938132518,5813471982,6527302708,7472532258,8742153397,8830909008,9008629729,9104515930,9718989517,9430236065,10173234921,11075778481,11827619910,12702332855,13075044561,12012993251,13414720930,14439331395
Japan,JPN,44307342950,53508617739,60723018684,69498131797,81749006382,90950278258,105628070343,123781880218,146601072686,172204199481,209070551157,236154755295,312738030290,424891148590,471643172434,512861437158,576405865273,709404712455,996741758197,1037452649455,1086988088501,1201465862932,1116840773462,1218106450432,1294608503865,1384532251035,2051061226984,2485236197212,3015393553892,3017052046398,3103698099974,3536800942895,3852794371594,4414962786901,4850348016492,5333925511059,4706187126020,4324278106866,3914574887342,4432599282923,4731198760271,4159859918094,3980819536160,4302939184964,4655803055651,4571875737175,4356761451087,4356329296669,4849208099924,5035141567659,5488416495785,5867154491918
Jordan,JOR,,,,,,599759760,657999737,631679747,561119776,698879720,639519744,678159729,788479685,943783840,1197483949,1363073498,1648879611,2054259917,2549856851,3266374324,3961735336,4446589778,4825925127,5036644917,5153655079,5119290466,6182314853,6525458032,6049822064,4128435577,4020267827,4193336134,5310833151,5605775322,6237267189,6727454311,6928490841,7248048123,7914118277,8151541084,8463892909,8980439920,9584232160,10197756160,11411390547,12588665468,15056937190,17110610000,21971835256,23820013059,26425379367,28840197019
Kazakhstan,KAZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26932728899,24881135586,24906939560,23409027475,21250839258,20374307047,21035357833,22165932063,22135245413,16870817135,18291990620,22152689130,24636598580,30833692832,43151647003,57123671734,81003864913,104849915341,133441649218,115308687199,148052371904,188049986359
Kenya,KEN,791265454,792959467,868111401,926589355,998759331,997919320,1164519673,1232559506,1353295458,1458379415,1603447357,1778391289,2107279157,2502142444,2973309272,3259344936,3474542392,4494378855,5303734883,6234390975,7265315332,6854491454,6431579357,5979198464,6191437070,6135034338,7239126717,7970820531,8355380879,8283114648,8572359163,8151488882,8209120678,5751786610,7148148564,9046320197,12045865466,13115764433,14093998844,12896010520,12705350153,12985991723,13147736954,14904504019,16095321631,18737895401,22504136042,27236739896,30465489796,30580367979,32198151217,33620684016
Kiribati,KIR,,,,,,,,,,,14295280,15278632,18936527,31710658,85637174,55081817,41109627,38748059,45210026,42620165,27935550,29307056,29659195,29432432,28646775,21294783,20572861,23924520,30842253,29558754,28413863,47797290,49724297,48613286,56200273,57610628,67866425,69152456,67097399,70596129,68239817,63810692,74174176,93517271,102405737,105399007,104236446,123962354,131333539,120292736,141615976,166690185
"Korea, Dem. Rep.",PRK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Rep.",KOR,3891849048,2357059045,2745939979,3863726949,3358134143,3017614366,3806043709,4702747059,5955336766,7475692344,8899729521,9851361083,10735574843,13691504318,19229361881,21458884298,29554752066,37926239669,51125206612,65561776860,63834351283,71469245114,76218197735,84510602643,93210997792,96619732880,111305576039,140005592229,187446511819,230473148065,263776986549,308185041249,329885864344,362135746945,423434190055,517118129838,557643607434,516282942110,345432412376,445399303511,533384027729,504585783004,575928909990,643762388701,721975255824,844863004335,951773478985,1049235951187,931402204982,834060441841,1014890141871,1116247397319
Kosovo,KSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1849196082,2535333632,2702427047,3355083117,3639935348,3743116980,3915494726,4677361256,5641557748,5449180547,5593654275,6452514048
Kuwait,KWT,,,1828179057,1900970259,2071749620,2097199075,2391198945,2441598923,2662798826,2769198779,2873638822,3880392338,4450537866,5408804503,13006948809,12022811524,13132252303,14137407257,15503557923,24749064363,28638869294,25058021180,21577153433,20871081552,21700083143,21445970693,17903989900,22368703293,20690321183,24313856915,18427778571,11009955543,19858555905,23941392355,24848484745,27191687674,31492937201,30350433060,25946185994,30120888964,37718011469,34890773740,38138801497,47875837662,59440511982,80797945205,101561153806,114721830986,147402413798,105911338608,124348317665,176590075215
Kyrgyz Republic,KGZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2674000000,2570833333,2316562400,2028295455,1681006993,1661018519,1827570586,1767864036,1645963750,1249062025,1369691955,1525113501,1605640633,1919012781,2211535312,2459876152,2834168889,3802566171,5139957785,4690029461,4794361821,6197765942
Lao PDR,LAO,,,,,,,,,,,,,,,,,,,,,,,,,1757142806,2366666615,1776842041,1087273076,598961279,714046803,865559856,1028087947,1127806918,1327748655,1543606382,1763536299,1873671511,1747011884,1280177847,1454430642,1731198022,1768619058,1758176653,2023324407,2366398120,2735550177,3452895836,4222945530,5443930125,5832882922,7181441152,8297664741
Latvia,LVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,5715853653,6827011059,7690315589,7447002857,6756418264,4848056772,4467987271,5060854731,5235719779,5585292783,6133234180,6616957681,7288524473,7833068425,8313047744,9314784080,11186452601,13761569545,16041840426,19935046397,28765687042,33669367720,25875781250,24009680460,28252498853
Lebanon,LBN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3313539979,2717998713,2838485398,4451497337,5545921821,7535259914,9599127189,11718795352,13690217121,15751867489,17247179483,17391056437,17260364842,17649751244,19152238806,20082918740,21789054726,21860696517,22438474295,25056716418,30079601990,34650746269,37124378109,40094328358
Lesotho,LSO,34579986,35699986,41859983,47039981,51939979,54879978,56699977,59261976,61445975,65967974,68739973,76480285,80915357,121188699,150851316,149558945,147660000,193315000,266570000,290134730,431542682,434174015,326943105,355443856,302993844,247680797,290586783,369345623,429740034,451447042,544578771,608767924,720543405,721599288,755041472,859092081,815937451,859816180,819422422,801540665,771200632,706430933,656802669,969181551,1234197704,1368405301,1428931225,1597463724,1626044500,1711350115,2179350966,2426200017
Liberia,LBR,190495648,183920944,191861808,200229616,218929096,229260776,244459452,261024284,276820652,306961824,323099728,341543056,368098032,386968288,486955024,577549312,596675728,673010608,717240448,814067872,854711504,846514496,863933152,823374944,848478336,851296080,840964416,972800000,1038300000,786300000,384400000,348000000,223500000,160400000,132200000,134800000,159400000,295900000,359599999,441800019,529064647,515000000,536000000,409000000,467000000,542000000,604000000,739000000,850700000,1155146230,1292696476,1545461660
Libya,LBY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28904898118,31992732972,33887047909,30660051911,28610549763,25541379187,27884615385,30700897875,27251534530,30484399896,33896600871,28420321952,19842519685,24062500000,33384615385,44000000000,56484375000,71803278689,93167701863,62360446571,,
Liechtenstein,LIE,,,,,,,,,,,90099361,104889798,124940285,165928854,193980462,246389070,272489354,303493105,436912093,503173087,534699257,511647837,522096761,524023708,502620921,529073612,779357947,1052849231,1161757671,1119983791,1421508901,1484160640,1631176617,1673085623,1948128896,2428524750,2504013004,2298390584,2479698579,2664105901,2483890594,2491800559,2688617885,3070803431,3454374261,3658356378,3988775844,4602346923,4929414915,4826167676,,
Lithuania,LTU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10506695074,10287023246,8562311027,7424597884,6958636950,7904895791,8426600000,10128700000,11254050000,10971375000,11434200000,12159225000,14163949142,18608709857,22551543054,25962254181,30088510798,39103973051,47252926429,36846183172,36306384146,42725404055
Luxembourg,LUX,703925706,704145671,741509481,791140596,903158754,921600736,968440149,974721763,1066447131,1234878981,1445204631,1505684113,1885307919,2587382708,3156198934,3096414882,3394079657,3756663105,4677872753,5469434740,5967924324,5010110736,4562651737,4485226128,4400183011,4537763200,6627975487,8249188100,9336997886,9951164658,12668658432,13714989141,15384954868,15788267747,17549235946,20673371648,20579153094,18514433920,19351522561,21185382485,20267551133,20196868009,22568793525,29144582393,34077095478,37643013481,42544669011,51320626630,54742739957,50047718739,52507236842,59200833333
"Macao SAR, China",MAC,,,,,,,,,,,,,,,,,,,,,,,1021654718,1016585687,1182693473,1222072821,1376075268,1786734514,2087122776,2478807841,2990180516,3464946372,4581185871,5280218135,5868546011,6560672251,6628525683,6674552885,6186475688,5916957025,6101794939,6514271488,7008026539,7926208510,10258324479,11790849396,14567828106,18061715594,20727302459,21312049798,28269518238,36428443915
"Macedonia, FYR",MKD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4471828622,4694744807,2316618515,2550194959,3381270267,4449375525,4422159849,3735312201,3571043201,3673288166,3586883989,3436961385,3791306758,4756221629,5514253043,5985809060,6560546900,8159825620,9834038367,9313573965,9338665631,10439099881
Madagascar,MDG,673081725,699161943,739286907,759345863,802482184,833563473,900264583,956436932,1031669637,1056391055,1111859570,1199507630,1341590682,1653062348,1917508190,2283049234,2181844194,2358930407,2669755115,3463565882,4042139902,3594868209,3526198069,3511573992,2939485472,2857889713,3258288890,2565634382,2442507588,2498059015,3081479800,2653141958,3024459294,3370842211,2977040884,3159901109,3995028429,3545776813,3738704582,3717515283,3877673635,4529575233,4397254715,5474030228,4363934417,5038577519,5515218334,7342923620,9394896990,8487986651,8837041787,9911781297
Malawi,MWI,162960130,174580140,183120147,190820153,194740156,229460184,260400208,269812782,245160098,265800106,290520116,365389567,406084197,444302221,548618790,613196873,670309253,806265764,948983347,1058297637,1237662106,1237686925,1180094061,1223225050,1208026105,1131349974,1183671771,1183071377,1379923808,1590201669,1880784193,2203536041,1799529369,2070647130,1181801915,1397454123,2281039099,2663238981,1750585205,1775920039,1743506287,1716502069,2665158943,2424656666,2625127098,2754995877,3116789658,3647817219,4276769712,5030639934,5398616985,5621000678
Malaysia,MYS,2441020462,2422724545,2543810831,2708474919,2899751388,3187851274,3392767687,3515850936,3667209742,4050763016,4276665286,4514334715,5364357955,8150688760,10100863611,9890359225,11753574870,13975278668,16658322459,21602645098,24937045114,25463038429,27287163523,30682563370,34565849169,31772244237,28243103020,32181695659,35271881996,38848565930,44024178270,49133852000,59151288903,66894450252,74480816088,88832452512,100851784848,100168847815,72175310308,79148423191,93789736842,92783947368,100845526316,110202368421,124749473684,143532888077,162693285432,193551348251,230987618904,202251668711,246821033101,287936971621
Maldives,MDV,,,,,,,,,,,,,,,,,,,,,42463576,44781457,47935844,57829787,109503546,127154930,141902098,141268980,168610478,189535398,215089005,244468293,284853359,322326642,355884383,398988955,450382328,508223603,540096400,589239757,624337144,802442810,828242188,949867188,1075609375,992476563,1303375000,1541976563,1891632813,1942031250,2075500000,2050135788
Mali,MLI,,,,,,,,275494478,343771973,339913867,359772315,430096742,486617279,563683703,538747341,830710614,939228016,1049838550,1222702572,1595422954,1787338105,1493651106,1327378900,1294458070,1311342831,1313685008,1678328289,1931545340,1947794155,2007784673,2421172497,2422840269,2852581755,2677966905,1762703059,2466160215,2619086428,2475185559,2596828336,2570429655,2422482318,2629739067,3342824260,4362439887,4874178417,5305317555,5866094446,7146332949,8737662078,8964480932,9422377319,10826502290
Malta,MLT,,,,,,,,,,,250728829,264578309,295106775,345616070,376081182,474618293,527936893,625563347,793673674,1001288245,1250199056,1243509858,1234474742,1165730173,1101807301,1117797225,1435038037,1751293216,2019503791,2118655300,2547330284,2750215016,3021944632,2709194766,2998504392,3599683395,3671827861,3633464750,3809619584,3907947937,3957418083,3917620728,4296164768,5119621569,5643525282,5980795756,6390123590,7513834700,8554293727,8099400961,8163841060,8886572143
Marshall Islands,MHL,,,,,,,,,,,,,,,,,,,,,,31020000,34918000,41749000,45144000,43879000,55989000,62983000,70688000,72798000,78476000,82507000,91063000,99461000,108071000,120230000,110858000,106289109,108702068,107978893,110937729,115152143,124735072,126887585,131106366,137556823,143352031,149739017,152565763,151560778,162935850,173700000
Mauritania,MRT,92609222,107726181,111148586,113797357,151897168,172767213,180340654,191221778,210695184,199643444,209348253,227051056,265009396,333731875,414772351,475916514,524407932,540635390,544424605,644070365,709041452,747994681,750214410,788371855,726937320,683193885,802890747,909820553,957377507,981529401,1019600770,1443688856,1464392409,1249945002,1315932678,1415296645,1442598430,1401946882,1375114088,1405662578,1293653473,1295536829,1324424463,1563072653,1833445283,2184444849,3040718541,3356758534,3585284290,3027020112,3684781241,4212959622
Mauritius,MUS,,,,,,,,,,,,,,,,,706988628,827093630,1019634978,1216227805,1136544231,1147187568,1082934402,1094857360,1044926097,1080643202,1469050658,1888752207,2143480497,2191101651,2653485952,2856889162,3224265824,3263363788,3558143642,4040342060,4421952121,4187375888,4169672974,4291171396,4582562398,4536544699,4767303153,5609836354,6385691315,6283796155,6507098599,7792060060,9641063862,8834647745,9705697242,11259856301
Mexico,MEX,13056164925,14153954349,15221053213,16936337668,20070134741,21829715344,24337233447,26556372081,29363632834,32515754314,35541711470,39200879416,45178119327,55271303176,71976542927,88003982689,89023916067,81825780564,102517450026,134540322293,194356825709,250083027275,173720847691,148866911934,175632163244,184473097296,129440191340,140263673924,183144276294,222977042347,262709785593,314453895612,363609268789,403195508734,421725049058,286698251724,332908981436,401480129436,421214803220,481202434427,581426421971,622092637151,649075575302,700324664927,759777472170,848947464609,952276430547,1035929522496,1094480339422,879703353505,1035273542953,1153343069401
"Micronesia, Fed. Sts.",FSM,,,,,,,,,,,,,,,,,,,,,,,,106500000,,,112210000,116700000,124700000,135200000,147200000,166200000,178100000,198400000,202500000,222103587,218845723,206900332,219646200,220660504,233226323,240051900,241543396,244990984,239563310,249845593,252991205,255890836,261339642,277510923,294117230,310287519
Moldova,MDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3592856080,3094567110,2319243407,2371812924,1702314353,1752995314,1695130484,1930071445,1639497207,1170785048,1288420223,1480656884,1661818168,1980901554,2598231467,2988172424,3408454198,4402495921,6054806101,5437562132,5813013917,7001285081
